ID,smiles,IC50,IC50_units,pIC50
BCRP_0762,COc1cc(/C=C/C(=O)c2cccc(O)c2)cc(OC)c1OC,4.28,uM,5.368556231
BCRP_0763,CCOc1ccc(/C=C/C(=O)c2ccc(OCC(=O)Nc3ccc4c(c3)COC4=O)cc2)cc1,20.1,uM,4.696803943
BCRP_0764,COc1cc(/C=C/C(=O)c2ccc(OCC(=O)Nc3ccc4c(c3)COC4=O)cc2)cc(OC)c1OC,8.44,uM,5.073657553
BCRP_0765,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)NCc3ccc4c(c3)OCO4)cc2)cc1,10,uM,5
BCRP_0766,COc1ccc(NC(=O)COc2ccc(C(=O)/C=C/c3ccc(Cl)cc3)cc2)cc1OC,6.95,uM,5.158015195
BCRP_0767,COc1cc(-c2c(OCC(=O)Nc3cccc4ccccc34)oc3ccccc3c2=O)cc(OC)c1OC,10.5,uM,4.978810701
BCRP_0768,CN(c1ccc(C#N)cc1)c1nc(-c2ccccc2)nc2ccccc12,10.08,uM,4.996539468
BCRP_0769,Fc1cccc(Nc2ncnc3ccccc23)c1,8.12,uM,5.090443971
BCRP_0770,O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3ccccc3)c2c1,0.106,uM,6.974694135
BCRP_0771,Nc1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3ccccc3)c2c1,0.726,uM,6.139063379
BCRP_0772,CSc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1,0.101,uM,6.995678626
BCRP_0773,O=C1CC(c2c[nH]c3ccc(F)cc23)C(=O)N1,65.4,uM,4.184422252
BCRP_0774,COc1cc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)ccc1OCC(=O)Nc1ccc2c(c1)COC2=O,11.4,uM,4.943095149
BCRP_0775,COc1cc(-c2oc3ccccc3c(=O)c2OCC(=O)Nc2ccc3c(c2)COC3=O)cc(OC)c1OC,9,uM,5.045757491
BCRP_0776,O=C1CCCc2c1c1c(n2Cc2ccccc2)-c2ccccc2C1=O,30,uM,4.522878745
BCRP_0777,COC(=O)c1ccc(-c2ccc(CN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,1.54,uM,5.812479279
BCRP_0778,COC(=O)c1ccc(-c2ccc(CN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1,0.943,uM,6.025488307
BCRP_0779,O=C(/C=C/c1c(F)cccc1F)c1ccc(O)cc1,7.22,uM,5.141462802
BCRP_0780,COc1ccc(NC(=O)COc2ccc(C(=O)/C=C/c3ccco3)cc2)cc1OC,5.4,uM,5.26760624
BCRP_0781,COC(=O)c1ccc(-c2cn(-c3ccc(CN4CCc5cc(OC)c(OC)cc5C4)cc3)nn2)cc1NC(=O)c1ccc2ccccc2n1,0.35,uM,6.455931956
BCRP_0782,COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(-n3cc(-c4ccc(C(=O)OC)c(NC(=O)c5ccc6ccccc6n5)c4)nn3)cc1)C2,0.144,uM,6.841637508
BCRP_0783,CCC(=O)c1ccc(-c2cn(-c3ccc(CCN4CCc5cc(OC)c(OC)cc5C4)cc3)nn2)cc1NC(=O)c1ccc(OC)cn1,0.116,uM,6.935542011
BCRP_0784,COc1cc2c(cc1OC)CN(CCc1ccc(-n3cc(-c4ccc(C(C)=O)c(NC(=O)c5ccc6ccccc6n5)c4)nn3)cc1)CC2,0.14,uM,6.853871964
BCRP_0785,COc1ccc(/C(C#N)=C/c2ccc(N3CCC(O)CC3)s2)cc1OC,3.345,uM,5.475603878
BCRP_0786,COC(=O)c1ccc(-c2cn(-c3ccc(CCN4CCc5ccccc5C4)cc3)nn2)cc1NC(=O)c1ccc2ccccc2n1,0.486,uM,6.313363731
BCRP_0787,COC(=O)c1ccc(Br)cc1NC(=O)c1cc(=O)c2ccccc2o1,0.14,uM,6.853871964
BCRP_0788,CCC(=O)c1ccc(-c2cn(-c3ccc(CCN4CCc5cc(OC)c(OC)cc5C4)cc3)nn2)cc1NC(=O)c1cccc([N+](=O)[O-])n1,0.07,uM,7.15490196
BCRP_0789,COCCOc1cc2c(cc1OC)CCN(CCOc1ccc(/C=C/C(=O)c3ccc(C)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2,1.55,uM,5.809668302
BCRP_0790,COCCOCCOCCOc1cc2c(cc1OC)CCN(CC(=O)c1cccc(NC(=O)c3ccc4ccccc4n3)c1)C2,1.13,uM,5.946921557
BCRP_0791,O=[N+]([O-])c1ccc(N2CCN(c3nc(-c4ccccc4)nc4ccccc34)CC2)cc1,9.35,uM,5.029188389
BCRP_0792,c1ccc(-c2nc(N3CCN(c4ccccc4)CC3)c3ccccc3n2)cc1,8.92,uM,5.049635146
BCRP_0793,CCC(=O)c1ccc(-c2cn(-c3ccc(CCN4CCc5cc(OC)c(OCCOCCOCCOC)cc5C4)cc3)nn2)cc1NC(=O)c1ccc2ccccc2n1,0.081,uM,7.091514981
BCRP_0794,CN(c1cccc([N+](=O)[O-])c1)c1nc(-c2ccccc2)nc2ccccc12,2.025,uM,5.693574972
BCRP_0795,COc1cccc(Nc2ncnc3ccccc23)c1,0.645,uM,6.190440285
BCRP_0796,FC(F)(F)c1cccc(Sc2nc(-c3ccccc3)nc3ccccc23)c1,14.8,uM,4.829738285
BCRP_0797,O=C(Nc1nc(-c2ccccc2)nc2ccccc12)c1ccccc1[N+](=O)[O-],0.994,uM,6.002613616
BCRP_0798,COC(=O)c1ccc(Br)cc1NC(=O)c1ccc2ccccc2n1,1.918,uM,5.717151397
BCRP_0799,CCC(=O)c1ccc(-c2cn(CCN3CCCC3)nn2)cc1NC(=O)c1cc(=O)c2ccccc2o1,0.158,uM,6.801342913
BCRP_0800,COc1cc2c(cc1OC)CN(CCc1ccc(-n3cc(-c4ccc(C(=O)C(C)C)c(NC(=O)c5ccc6ccccc6n5)c4)nn3)cc1)CC2,0.295,uM,6.530177984
BCRP_0801,COc1ccc2[nH]cc(CCNC(=O)C(CC(C)C)NC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,0.91,uM,6.040958608
BCRP_0802,COC(=O)c1ccc(C(C(=O)NC2CCCCC2)N(Cc2ccccc2)C(=O)Cc2cccs2)cc1,4.6,uM,5.337242168
BCRP_0803,COc1cc(/C=C/C(=O)OCCCCCCN(C)CCCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,16,uM,4.795880017
BCRP_0804,Cc1c(C(=O)Nc2ccc(F)cc2)c2ccccn2c1CCc1ccncc1,6.84,uM,5.164943898
BCRP_0805,N#Cc1ccc(COC(=O)c2ccc(N3CCCC3)c([N+](=O)[O-])c2)cc1,0.45,uM,6.346787486
BCRP_0806,COc1ccc(/C=N/NC(=O)c2ccccc2F)cc1CN1CCN(c2ccc(F)cc2)CC1,4.07,uM,5.390405591
BCRP_0807,Cc1cc(C)c(C#N)c(SCc2c(F)cccc2[N+](=O)[O-])n1,3.82,uM,5.417936637
BCRP_0808,COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccc4c(c3)C(N3CCc5cc(OC)c(OC)cc5C3)C(=O)N4)cc1)CC2,1.8,uM,5.744727495
BCRP_0809,COc1cc(/C=C/C(=O)OCCCCN(C)CCCCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,3.3,uM,5.48148606
BCRP_0810,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5cc(Br)cc(Br)c5)cccc4o3)c2c1,0.097,uM,7.013228266
BCRP_0811,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,0.189,uM,6.723538196
